variable_name,variable_label,avail_from_dt,table_name
B9ABMB3,Maintenance payment: more or less than Â£300 a month,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMC3,Maintenance payment: more or less than Â£400 a month,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMD3,Maintenance payment: more or less than Â£600 a month,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMN3,Monthly maintenance payment - lower bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMX3,Monthly maintenance payment - upper bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMAN3,Whether answered ABM3 unfolding brackets questions,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMET4,Entry point into ABM4 brackets,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMA4,Maintenance payment: more or less than Â£2,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMB4,Maintenance payment: more or less than Â£3,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMC4,Maintenance payment: more or less than Â£5,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMD4,Maintenance payment: more or less than Â£7,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMN4,Yearly maintenance payment - lower bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMX4,Yearly maintenance payment - upper bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMAN4,Whether answered ABM4 unfolding brackets questions,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMET5,Entry point into ABM5 brackets,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMA5,Maintenance payment: more or less than Â£200 a month,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMB5,Maintenance payment: more or less than Â£300 a month,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMC5,Maintenance payment: more or less than Â£400 a month,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMD5,Maintenance payment: more or less than Â£600 a month,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMN5,Monthly maintenance payment - lower bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMMX5,Monthly maintenance payment - upper bound,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
B9ABMAN5,Whether answered ABM5 unfolding brackets questions,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
V3,None,2022-01-10 08:26:14.643,bcs9_absent_older_child_v0001_20211101
